row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
556,3922,WANG BURAPHA PHIROM,วังบูรพาภิรมย์,3915,PHRA NAKHON,พระนคร,3781,Bangkok,กรุงเทพมหานคร,80.0,100.0,80.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,98.0,baania
352,3891,SURIYAWONG,สุริยวงศ์,3886,BANG RAK,บางรัก,3781,Bangkok,กรุงเทพมหานคร,97.0,100.0,97.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,98.0,99.0,baania
389,1123,DON KAEO,ดอนแก้ว,1121,MAE RIM,แม่ริม,1005,Chiang Mai,เชียงใหม่,1.0,20.0,16.0,1.0,21.0,6.0,0.0,0.0,0.0,0.0,1.0,91.0,84.0,36.0,91.0,45.0,baania
228,3396,BANG KHU WIANG,บางคูเวียง,3392,BANG KRUAI,บางกรวย,3372,Nonthaburi,นนทบุรี,73.0,95.0,74.0,100.0,95.0,91.0,1.0,100.0,1.0,41.0,99.0,100.0,99.0,100.0,100.0,100.0,baania
157,4702,BUENG,บึง,4645,BANG LAMUNG,บางละมุง,4616,Chon Buri,ชลบุรี,1.0,1.0,7.0,9.0,20.0,6.0,0.0,0.0,0.0,0.0,67.0,61.0,66.0,87.0,86.0,77.0,baania
514,3412,BANG MUANG,บางม่วง,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,71.0,94.0,65.0,98.0,100.0,89.0,14.0,94.0,1.0,43.0,96.0,100.0,97.0,100.0,100.0,99.0,baania
43,1165,CHAE CHANG,แช่ช้าง,1164,SAN KAMPHAENG,สันกำแพง,1005,Chiang Mai,เชียงใหม่,1.0,1.0,12.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0,35.0,81.0,13.0,71.0,28.0,baania
101,3828,KHLONG CHAK PHRA,คลองชักพระ,3826,TALING CHAN,ตลิ่งชัน,3781,Bangkok,กรุงเทพมหานคร,93.0,100.0,93.0,100.0,100.0,98.0,8.0,97.0,1.0,42.0,100.0,63.0,100.0,97.0,70.0,92.0,baania
187,4529,NAM DAENG,หนามแดง,4511,MUEANG CHACHOENGSAO,เมืองฉะเชิงเทรา,4510,Chachoengsao,ฉะเชิงเทรา,15.0,29.0,9.0,36.0,24.0,28.0,0.0,0.0,0.0,0.0,85.0,93.0,79.0,54.0,54.0,69.0,baania
190,1021,NONG HOI,หนองหอย,1006,MUEANG CHIANG MAI,เมืองเชียงใหม่,1005,Chiang Mai,เชียงใหม่,18.0,6.0,28.0,3.0,67.0,15.0,0.0,0.0,0.0,0.0,84.0,78.0,87.0,57.0,100.0,72.0,baania
