row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_rent_price_sqm
309,2021,5,สมุทรปราการ,SAMUT PRAKAN,บางบ่อ,BANG BO,คอนโด,Condo,18,249
1050,2021,12,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,2064,611
1518,2021,7,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,12,187
838,2021,4,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,1642,631
351,2020,9,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,34,245
1484,2020,10,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,168,297
173,2019,10,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,1413,534
1377,2019,6,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,292,666
974,2020,8,สมุทรปราการ,SAMUT PRAKAN,บางเสาธง,BANG SAO THONG,คอนโด,Condo,11,228
977,2021,3,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,466,774
712,2021,6,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,470,384
373,2021,8,ปทุมธานี,PATHUM THANI,ธัญบุรี,THANYABURI,คอนโด,Condo,19,228
69,2019,4,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,95,715
844,2019,1,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,35,478
602,2020,5,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,15,279
630,2021,5,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,47,263
39,2019,11,นครปฐม,NAKHON PATHOM,พุทธมณฑล,PHUTTHAMONTHON,คอนโด,Condo,14,257
1151,2021,12,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,24,333
171,2020,2,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,57,797
608,2020,1,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,12,367
730,2019,1,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,28,358
1402,2019,7,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คอนโด,Condo,98,360
1056,2021,2,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,30,151
654,2019,8,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,44,373
345,2021,9,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,533,728
109,2019,1,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,179,654
